data,date,time,alertDate,category,category_desc,matrix_id,rid
כרמיאל,01.03.2026,01:37:18,2026-03-01T01:37:00,1,ירי רקטות וטילים,1,269578
כרמיאל,01.03.2026,01:50:17,2026-03-01T01:50:00,1,ירי רקטות וטילים,1,270825
כרמיאל,01.03.2026,02:06:58,2026-03-01T02:07:00,13,ניתן לצאת מהמרחב המוגן אך יש להישאר בקרבתו,10,281365
כרמיאל,01.03.2026,08:54:45,2026-03-01T08:55:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,296250
כרמיאל,01.03.2026,09:01:42,2026-03-01T09:02:00,1,ירי רקטות וטילים,1,296884
כרמיאל,01.03.2026,09:15:15,2026-03-01T09:15:00,13,ניתן לצאת מהמרחב המוגן אך יש להישאר בקרבתו,10,298064
כרמיאל,01.03.2026,10:04:49,2026-03-01T10:05:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,299308
כרמיאל,01.03.2026,10:11:40,2026-03-01T10:12:00,1,ירי רקטות וטילים,1,299742
כרמיאל,01.03.2026,10:19:54,2026-03-01T10:20:00,1,ירי רקטות וטילים,1,300854
כרמיאל,01.03.2026,10:34:20,2026-03-01T10:34:00,13,ניתן לצאת מהמרחב המוגן אך יש להישאר בקרבתו,10,301547
כרמיאל,01.03.2026,13:24:04,2026-03-01T13:24:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,305284
כרמיאל,01.03.2026,13:31:57,2026-03-01T13:32:00,1,ירי רקטות וטילים,1,306122
כרמיאל,01.03.2026,13:41:44,2026-03-01T13:42:00,1,ירי רקטות וטילים,1,307161
כרמיאל,01.03.2026,14:01:16,2026-03-01T14:01:00,13,ניתן לצאת מהמרחב המוגן אך יש להישאר בקרבתו,10,307994
כרמיאל,01.03.2026,16:45:14,2026-03-01T16:45:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,309461
כרמיאל,01.03.2026,17:02:58,2026-03-01T17:03:00,13,ניתן לצאת מהמרחב המוגן אך יש להישאר בקרבתו,10,310198
כרמיאל,01.03.2026,20:32:47,2026-03-01T20:33:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,310820
כרמיאל,01.03.2026,20:36:30,2026-03-01T20:37:00,1,ירי רקטות וטילים,1,311070
כרמיאל,01.03.2026,20:48:30,2026-03-01T20:49:00,13,ניתן לצאת מהמרחב המוגן אך יש להישאר בקרבתו,10,311539
כרמיאל,01.03.2026,21:06:32,2026-03-01T21:07:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,312952
כרמיאל,01.03.2026,21:29:02,2026-03-01T21:29:00,13,ניתן לצאת מהמרחב המוגן אך יש להישאר בקרבתו,10,314026
כרמיאל,01.03.2026,23:46:01,2026-03-01T23:46:00,2,חדירת כלי טיס עוין,6,316852
כרמיאל,02.03.2026,12:53:06,2026-03-02T12:53:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,325387
כרמיאל,02.03.2026,13:12:45,2026-03-02T13:13:00,13,ירי רקטות וטילים -  האירוע הסתיים,10,327041
כרמיאל,03.03.2026,00:24:59,2026-03-03T00:25:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,329038
כרמיאל,03.03.2026,00:28:52,2026-03-03T00:29:00,1,ירי רקטות וטילים,1,329394
כרמיאל,03.03.2026,00:36:06,2026-03-03T00:36:00,1,ירי רקטות וטילים,1,329906
כרמיאל,03.03.2026,00:56:31,2026-03-03T00:57:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,331995
כרמיאל,03.03.2026,01:06:12,2026-03-03T01:06:00,1,ירי רקטות וטילים,1,333195
כרמיאל,03.03.2026,01:17:08,2026-03-03T01:17:00,13,ירי רקטות וטילים -  האירוע הסתיים,10,333512
כרמיאל,03.03.2026,09:14:05,2026-03-03T09:14:00,2,חדירת כלי טיס עוין,6,334156
כרמיאל,03.03.2026,09:24:28,2026-03-03T09:24:00,13,חדירת כלי טיס עוין - האירוע הסתיים,10,334239
כרמיאל,03.03.2026,14:31:03,2026-03-03T14:31:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,338028
כרמיאל,03.03.2026,14:35:47,2026-03-03T14:36:00,1,ירי רקטות וטילים,1,338433
כרמיאל,03.03.2026,14:56:35,2026-03-03T14:57:00,13,ירי רקטות וטילים -  האירוע הסתיים,10,339924
כרמיאל,04.03.2026,00:00:58,2026-03-04T00:01:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,344834
כרמיאל,04.03.2026,00:08:32,2026-03-04T00:09:00,1,ירי רקטות וטילים,1,345111
כרמיאל,04.03.2026,00:21:01,2026-03-04T00:21:00,13,ירי רקטות וטילים -  האירוע הסתיים,10,345707
כרמיאל,04.03.2026,00:51:18,2026-03-04T00:51:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,346361
כרמיאל,04.03.2026,00:59:00,2026-03-04T00:59:00,13,ירי רקטות וטילים -  האירוע הסתיים,10,346839
כרמיאל,04.03.2026,05:53:08,2026-03-04T05:53:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,348549
כרמיאל,04.03.2026,06:01:31,2026-03-04T06:02:00,13,ירי רקטות וטילים -  האירוע הסתיים,10,349347
כרמיאל,04.03.2026,16:02:56,2026-03-04T16:03:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,355760
כרמיאל,04.03.2026,16:19:35,2026-03-04T16:20:00,13,ירי רקטות וטילים -  האירוע הסתיים,10,357361
